datetime,price_usd,hashrate
2009-01-03,0.0,4.97102696296296e-08
2009-01-04,0.0,0.0
2009-01-05,0.0,0.0
2009-01-06,0.0,0.0
2009-01-07,0.0,0.0
2009-01-08,0.0,0.0
2009-01-09,0.0,6.95943774814815e-07
2009-01-10,0.0,1.54101835851852e-06
2009-01-11,0.0,5.26928858074074e-06
2009-01-12,0.0,4.42421399703704e-06
2009-01-13,0.0,5.71668100740741e-06
2009-01-14,0.0,6.26349397333333e-06
2009-01-15,0.0,6.31320424296296e-06
2009-01-16,0.0,5.76639127703704e-06
2009-01-17,0.0,5.36870912e-06
2009-01-18,0.0,5.02073723259259e-06
2009-01-19,0.0,5.91552208592593e-06
2009-01-20,0.0,5.76639127703704e-06
2009-01-21,0.0,5.61726046814815e-06
2009-01-22,0.0,3.72827022222222e-06
2009-01-23,0.0,3.33058806518518e-06
2009-01-24,0.0,9.8923436562963e-06
2009-01-25,0.0,9.64379230814815e-06
2009-01-26,0.0,5.76639127703704e-06
2009-01-27,0.0,5.12015777185185e-06
2009-01-28,0.0,5.12015777185185e-06
2009-01-29,0.0,6.06465289481481e-06
2009-01-30,0.0,6.01494262518519e-06
2009-01-31,0.0,6.41262478222222e-06
2009-02-01,0.0,5.76639127703704e-06
2009-02-02,0.0,6.31320424296296e-06
2009-02-03,0.0,6.76059666962963e-06
2009-02-04,0.0,6.11436316444444e-06
2009-02-05,0.0,6.01494262518519e-06
2009-02-06,0.0,6.41262478222222e-06
2009-02-07,0.0,6.26349397333333e-06
2009-02-08,0.0,6.66117613037037e-06
2009-02-09,0.0,6.36291451259259e-06
2009-02-10,0.0,6.31320424296296e-06
2009-02-11,0.0,6.51204532148148e-06
2009-02-12,0.0,5.8658118162963e-06
2009-02-13,0.0,6.16407343407407e-06
2009-02-14,0.0,7.00914801777778e-06
2009-02-15,0.0,6.06465289481481e-06
2009-02-16,0.0,6.11436316444444e-06
2009-02-17,0.0,5.8658118162963e-06
2009-02-18,0.0,6.16407343407407e-06
2009-02-19,0.0,5.81610154666667e-06
2009-02-20,0.0,6.36291451259259e-06
2009-02-21,0.0,5.46812965925926e-06
2009-02-22,0.0,6.01494262518519e-06
2009-02-23,0.0,5.31899885037037e-06
2009-02-24,0.0,5.51783992888889e-06
2009-02-25,0.0,5.31899885037037e-06
2009-02-26,0.0,4.77218588444444e-06
2009-02-27,0.0,6.11436316444444e-06
2009-02-28,0.0,5.07044750222222e-06
2009-03-01,0.0,5.26928858074074e-06
2009-03-02,0.0,5.16986804148148e-06
2009-03-03,0.0,5.26928858074074e-06
2009-03-04,0.0,5.26928858074074e-06
2009-03-05,0.0,5.26928858074074e-06
2009-03-06,0.0,5.8658118162963e-06
2009-03-07,0.0,5.51783992888889e-06
2009-03-08,0.0,5.56755019851852e-06
2009-03-09,0.0,5.61726046814815e-06
2009-03-10,0.0,5.21957831111111e-06
2009-03-11,0.0,5.36870912e-06
2009-03-12,0.0,5.8658118162963e-06
2009-03-13,0.0,5.66697073777778e-06
2009-03-14,0.0,5.76639127703704e-06
2009-03-15,0.0,5.51783992888889e-06
2009-03-16,0.0,6.46233505185185e-06
2009-03-17,0.0,5.71668100740741e-06
2009-03-18,0.0,5.46812965925926e-06
2009-03-19,0.0,6.06465289481481e-06
2009-03-20,0.0,5.8658118162963e-06
2009-03-21,0.0,3.82769076148148e-06
2009-03-22,0.0,4.72247561481482e-06
2009-03-23,0.0,6.56175559111111e-06
2009-03-24,0.0,5.21957831111111e-06
2009-03-25,0.0,5.76639127703704e-06
2009-03-26,0.0,5.61726046814815e-06
2009-03-27,0.0,5.46812965925926e-06
2009-03-28,0.0,5.91552208592593e-06
2009-03-29,0.0,5.56755019851852e-06
2009-03-30,0.0,6.2137837037037e-06
2009-03-31,0.0,5.61726046814815e-06
2009-04-01,0.0,5.31899885037037e-06
2009-04-02,0.0,5.96523235555556e-06
2009-04-03,0.0,5.61726046814815e-06
2009-04-04,0.0,5.61726046814815e-06
2009-04-05,0.0,6.41262478222222e-06
2009-04-06,0.0,5.71668100740741e-06
2009-04-07,0.0,4.92131669333333e-06
2009-04-08,0.0,5.16986804148148e-06
2009-04-09,0.0,4.92131669333333e-06
2009-04-10,0.0,5.12015777185185e-06
2009-04-11,0.0,6.06465289481481e-06
2009-04-12,0.0,5.71668100740741e-06
2009-04-13,0.0,5.71668100740741e-06
2009-04-14,0.0,6.31320424296296e-06
2009-04-15,0.0,5.56755019851852e-06
2009-04-16,0.0,6.11436316444444e-06
2009-04-17,0.0,5.71668100740741e-06
2009-04-18,0.0,6.06465289481481e-06
2009-04-19,0.0,5.91552208592593e-06
2009-04-20,0.0,5.81610154666667e-06
2009-04-21,0.0,6.11436316444444e-06
2009-04-22,0.0,6.01494262518519e-06
2009-04-23,0.0,3.97682157037037e-06
2009-04-24,0.0,5.61726046814815e-06
2009-04-25,0.0,6.06465289481481e-06
2009-04-26,0.0,5.41841938962963e-06
2009-04-27,0.0,5.21957831111111e-06
2009-04-28,0.0,5.81610154666667e-06
2009-04-29,0.0,6.11436316444444e-06
2009-04-30,0.0,6.56175559111111e-06
2009-05-01,0.0,6.11436316444444e-06
2009-05-02,0.0,6.11436316444444e-06
2009-05-03,0.0,5.66697073777778e-06
2009-05-04,0.0,6.06465289481481e-06
2009-05-05,0.0,6.56175559111111e-06
2009-05-06,0.0,6.81030693925926e-06
2009-05-07,0.0,6.01494262518519e-06
2009-05-08,0.0,6.06465289481481e-06
2009-05-09,0.0,4.5236345362963e-06
2009-05-10,0.0,3.08203671703704e-06
2009-05-11,0.0,5.91552208592593e-06
2009-05-12,0.0,6.31320424296296e-06
2009-05-13,0.0,5.71668100740741e-06
2009-05-14,0.0,6.61146586074074e-06
2009-05-15,0.0,7.10856855703704e-06
2009-05-16,0.0,5.66697073777778e-06
2009-05-17,0.0,6.2137837037037e-06
2009-05-18,0.0,6.16407343407407e-06
2009-05-19,0.0,4.97102696296296e-06
2009-05-20,0.0,5.16986804148148e-06
2009-05-21,0.0,4.42421399703704e-06
2009-05-22,0.0,4.12595237925926e-06
2009-05-23,0.0,3.47971887407407e-07
2009-05-24,0.0,4.77218588444444e-06
